,imdb_score,director_name,movie_title
1521,8.4,Richard Marquand,Star Wars: Episode VI - Return of the Jedi
4023,8.4,Chan-wook Park,Oldboy
58,8.4,Andrew Stanton,WALL·E
3592,8.4,,The Inbetweeners
3555,8.4,,Veronica Mars
1317,8.4,S.S. Rajamouli,Baahubali: The Beginning
848,8.4,,Stargate SG-1
1490,8.4,Moustapha Akkad,Lion of the Desert
4395,8.4,Quentin Tarantino,Reservoir Dogs
2294,8.4,Hayao Miyazaki,Princess Mononoke
2570,8.4,Sam Mendes,American Beauty
567,8.4,Mel Gibson,Braveheart
1698,8.4,Sergio Leone,Once Upon a Time in America
2646,8.4,Catherine Owens,U2 3D
2922,8.4,Wolfgang Petersen,Das Boot
4163,8.4,Robert Mulligan,To Kill a Mockingbird
2605,8.4,David Lean,Lawrence of Arabia
3616,8.4,Rakeysh Omprakash Mehra,Rang De Basanti
4815,8.4,Bill Melendez,A Charlie Brown Christmas
2333,8.4,Stanley Kubrick,The Shining
3736,8.4,,Psych
3902,8.4,,M*A*S*H
3799,8.4,,Anne of Green Gables
3777,8.4,Darren Aronofsky,Requiem for a Dream
3935,8.4,Jay Oliva,"Batman: The Dark Knight Returns, Part 2"
4636,8.4,Marius A. Markevicius,The Other Dream Team
2455,8.4,James Cameron,Aliens
4550,8.4,Asghar Farhadi,A Separation
4183,8.3,Charles Ferguson,Inside Job
1030,8.3,Steven Spielberg,Indiana Jones and the Last Crusade
4578,8.3,Steve James,Hoop Dreams
582,8.3,Quentin Tarantino,Inglourious Basterds
3037,8.3,Gus Van Sant,Good Will Hunting
4194,8.3,Charles Ferguson,No End in Sight
2395,8.3,Martin Scorsese,Raging Bull
3027,8.3,Stanley Kubrick,2001: A Space Odyssey
43,8.3,Lee Unkrich,Toy Story 3
2196,8.3,Michel Gondry,Eternal Sunshine of the Spotless Mind
4660,8.3,Justin Paul Miller,The Sound and the Shadow
4433,8.3,Martin Scorsese,Taxi Driver
1572,8.3,John Lasseter,Toy Story
4767,8.3,King Vidor,The Big Parade
3995,8.3,Stanley Kramer,Judgment at Nuremberg
3827,8.3,John Sturges,The Great Escape
3335,8.3,,Preacher
1403,8.3,Curtis Hanson,L.A. Confidential
1123,8.3,,The Returned
4680,8.3,Terry Gilliam,Monty Python and the Holy Grail
4069,8.3,Billy Wilder,Some Like It Hot
3575,8.3,Tony Kaye,Lake of Fire
2966,8.3,Guy Ritchie,Snatch
3987,8.3,Billy Wilder,The Apartment
537,8.3,,Life
3599,8.3,George Roy Hill,The Sting
2378,8.3,Milos Forman,Amadeus
67,8.3,Pete Docter,Up
4091,8.3,Stanley Donen,Singin' in the Rain
3951,8.3,Thomas Vinterberg,The Hunt
2784,8.3,Oliver Hirschbiegel,Downfall
2720,8.3,Clint Eastwood,Unforgiven
1930,8.3,,Shaun the Sheep
2820,8.3,Lenny Abrahamson,Room
120,8.3,Christopher Nolan,Batman Begins
78,8.3,Pete Docter,Inside Out
1889,8.3,Brian De Palma,Scarface
2694,8.3,Fritz Lang,Metropolis
4846,8.3,Sut Jhally,"Peace, Propaganda & the Promised Land"
98,8.2,Hideaki Anno,Godzilla Resurgence
3582,8.2,,Emma
4708,8.2,Frank Capra,It Happened One Night
4308,8.2,Frank Capra,Mr. Smith Goes to Washington
3536,8.2,,War & Peace
4074,8.2,Rajkumar Hirani,Lage Raho Munna Bhai
2517,8.2,Guillermo del Toro,Pan's Labyrinth
1346,8.2,John Carpenter,The Thing
3643,8.2,David Lynch,The Elephant Man
3483,8.2,Denis Villeneuve,Incendies
3424,8.2,,Buffy the Vampire Slayer
27,8.2,Anthony Russo,Captain America: Civil War
2223,8.2,Sean Penn,Into the Wild
1961,8.2,Gavin O'Connor,Warrior
2663,8.2,Joel Coen,The Big Lebowski
93,8.2,Dean DeBlois,How to Train Your Dragon
4875,8.2,Martin Scorsese,The Last Waltz
4694,8.2,Ingmar Bergman,Cries & Whispers
4688,8.2,,Home Movies
502,8.2,Ron Howard,A Beautiful Mind
4347,8.2,Frank Lotito,Growing Up Smith
334,8.2,Andrew Stanton,Finding Nemo
3920,8.2,Juan José Campanella,The Secret in Their Eyes
3891,8.2,Victor Fleming,Gone with the Wind
951,8.2,James McTeigue,V for Vendetta
4530,8.2,Elia Kazan,On the Waterfront
3968,8.2,Danny Boyle,Trainspotting
4672,8.2,Joe Kenemore,Rise of the Entrepreneur: The Search for a Better Way
2028,8.2,Hayao Miyazaki,Howl's Moving Castle
304,8.2,Martin Scorsese,The Wolf of Wall Street
3984,8.2,David Lean,The Bridge on the River Kwai
4360,8.2,Guy Ritchie,"Lock, Stock and Two Smoking Barrels"
911,8.2,Martin Scorsese,Casino
4822,8.2,Amal Al-Agroobi,The Brain That Sings
1694,8.2,,Trapped
4478,8.2,Joshua Oppenheimer,The Act of Killing
2591,8.2,Michael Cimino,The Deer Hunter
4375,8.2,Alfred Hitchcock,Rebecca
1852,8.2,Clint Eastwood,Gran Torino
1761,8.2,Ridley Scott,Blade Runner
1738,8.2,John McTiernan,Die Hard
1360,8.1,Ron Howard,Rush
3979,8.1,Richard Brooks,Cat on a Hot Tin Roof
4722,8.1,Michael Roemer,Nothing But a Man
3517,8.1,George Roy Hill,Butch Cassidy and the Sundance Kid
3515,8.1,Oliver Stone,Platoon
1868,8.1,Ethan Coen,No Country for Old Men
235,8.1,Pete Docter,"Monsters, Inc."
1203,8.1,Frank Miller,Sin City
3508,8.1,James Cameron,The Terminator
4176,8.1,Alejandro G. Iñárritu,Amores Perros
4572,8.1,Bernardo Bertolucci,The Conformist
3808,8.1,,Animal Kingdom
846,8.1,Quentin Tarantino,Kill Bill: Vol. 1
3486,8.1,José Padilha,Elite Squad
4792,8.1,Carl Theodor Dreyer,Ordet
1075,8.1,Denis Villeneuve,Prisoners
711,8.1,Peter Weir,The Truman Show
3782,8.1,Richard Kelly,Donnie Darko
1894,8.1,Paul Thomas Anderson,There Will Be Blood
2824,8.1,Niels Arden Oplev,Del 1 - Män som hatar kvinnor
689,8.1,Steven Spielberg,Jurassic Park
17,8.1,Joss Whedon,The Avengers
4800,8.1,Sharon Greytak,Archaeology of a Woman
4190,8.1,,Strangers with Candy
4577,8.1,Fred Zinnemann,High Noon
2611,8.1,Rob Reiner,The Princess Bride
95,8.1,James Gunn,Guardians of the Galaxy
4363,8.1,Thomas Vinterberg,The Celebration
4429,8.1,John G. Avildsen,Rocky
4071,8.1,Victor Fleming,The Wizard of Oz
1171,8.1,M. Night Shyamalan,The Sixth Sense
2167,8.1,Tom McCarthy,Spotlight
4197,8.1,David Sington,In the Shadow of the Moon
4180,8.1,Kevin Macdonald,Touching the Void
2449,8.1,Terry George,Hotel Rwanda
2785,8.1,Alejandro Amenábar,The Sea Inside
4580,8.1,Joseph Kosinski,Destiny
4255,8.1,Jehane Noujaim,The Square
3816,8.1,Woody Allen,Annie Hall
275,8.1,Ridley Scott,The Martian
4596,8.1,Michael Wadleigh,Woodstock
446,8.1,Martin Scorsese,Shutter Island
4102,8.1,Richard Linklater,Before Sunrise
707,8.1,David Fincher,Gone Girl
803,8.1,Tim Miller,Deadpool
677,8.1,,The Missing
2554,8.1,Lasse Hallström,Hachi: A Dog's Tale
3959,8.1,John Ford,The Man Who Shot Liberty Valance
1563,8.1,Wes Anderson,The Grand Budapest Hotel
2577,8.1,Morten Tyldum,The Imitation Game
128,8.1,George Miller,Mad Max: Fury Road
202,8.1,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
1858,8.1,Tate Taylor,The Help
3890,8.1,Sidney Lumet,Network
2066,8.1,Richard Attenborough,Gandhi
2715,8.1,Harold Ramis,Groundhog Day
3302,8.1,Rob Reiner,Stand by Me
2867,8.1,Je-kyu Kang,Tae Guk Gi: The Brotherhood of War
1052,8.1,Andrei Tarkovsky,Solaris
2558,8.1,,Lilyhammer
178,8.1,Alejandro G. Iñárritu,The Revenant
4148,8.1,William Wyler,The Best Years of Our Lives
2997,8.1,Stanley Kubrick,Barry Lyndon
3361,8.1,Katsuhiro Ôtomo,Akira
3952,8.1,Bob Clark,A Christmas Story
182,8.1,Paul Greengrass,The Bourne Ultimatum
2148,8.1,Steve McQueen,12 Years a Slave
1588,8.1,Clint Eastwood,Million Dollar Baby
4192,8.0,Ari Folman,Waltz with Bashir
2758,8.0,Julian Schnabel,The Diving Bell and the Butterfly
902,8.0,Steven Spielberg,Catch Me If You Can
2722,8.0,Danny Boyle,Slumdog Millionaire
2975,8.0,David Lean,Doctor Zhivago
283,8.0,Martin Campbell,Casino Royale
4263,8.0,Elia Kazan,A Streetcar Named Desire
3830,8.0,Richard Linklater,Boyhood
4377,8.0,Billy Wilder,The Lost Weekend
3750,8.0,Billy Bob Thornton,Sling Blade
595,8.0,Tim Burton,Big Fish
2790,8.0,Darren Aronofsky,Black Swan
345,8.0,Brad Bird,The Incredibles
3912,8.0,Richard Brooks,In Cold Blood
999,8.0,Brad Bird,The Iron Giant
2327,8.0,Kevin Costner,Dances with Wolves
2699,8.0,Andrey Zvyagintsev,The Return
303,8.0,Edward Zwick,Blood Diamond
1851,8.0,Barry Levinson,Rain Man
2038,8.0,Spike Jonze,Her
3814,8.0,George A. Romero,Night of the Living Dead
3972,8.0,Michael Moore,Bowling for Columbine
1207,8.0,Oliver Stone,JFK
3958,8.0,Roman Polanski,Rosemary's Baby
2683,8.0,David Lynch,Mulholland Drive
3670,8.0,Edgar Wright,Shaun of the Dead
1361,8.0,Paul Thomas Anderson,Magnolia
4292,8.0,Frank Capra,You Can't Take It with You
2860,8.0,Lars von Trier,Dancer in the Dark
2505,8.0,Peter Weir,Dead Poets Society
386,8.0,Ron Howard,Cinderella Man
220,8.0,Ang Lee,Life of Pi
3393,8.0,Vincent Paronnaud,Persepolis
3367,8.0,Bruce Beresford,Mr. Church
4170,8.0,Robert Rossen,The Hustler
1487,8.0,Taylor Hackford,"Blood In, Blood Out"
2869,8.0,William Friedkin,The Exorcist
3299,8.0,Robert Wise,The Sound of Music
2870,8.0,Steven Spielberg,Jaws
4766,8.0,Kristin Rizzo,Give Me Shelter
1731,8.0,Ron Clements,Aladdin
2890,8.0,Franklin J. Schaffner,Patton
3123,8.0,David Lynch,The Straight Story
3286,8.0,Karan Johar,My Name Is Khan
2571,8.0,Tom Hooper,The King's Speech
1585,8.0,Neill Blomkamp,District 9
1587,8.0,Clint Eastwood,Mystic River
2660,8.0,Terry Gilliam,Brazil
3230,8.0,Michael Moore,Sicko
3223,8.0,Norman Jewison,Fiddler on the Roof
119,8.0,Brad Bird,Ratatouille
4778,8.0,Sergio Leone,A Fistful of Dollars
849,8.0,Quentin Tarantino,Kill Bill: Vol. 2
842,8.0,Gabriele Muccino,The Pursuit of Happyness
4604,8.0,Lance McDaniel,Light from the Darkroom
4710,8.0,Lauren Lazin,Tupac: Resurrection
2837,8.0,Stephen Chbosky,The Perks of Being a Wallflower
4695,8.0,D.W. Griffith,Intolerance: Love's Struggle Throughout the Ages
2511,8.0,Michel Hazanavicius,The Artist
3644,8.0,Jean-Marc Vallée,Dallas Buyers Club
4014,8.0,Terrence Malick,Days of Heaven
4555,8.0,Georg Wilhelm Pabst,Pandora's Box
4059,8.0,Walter Salles,Central Station
159,8.0,J.J. Abrams,Star Trek
2672,8.0,Martin McDonagh,In Bruges
1766,8.0,Jacques Perrin,Winged Migration
3562,8.0,Sam Peckinpah,The Wild Bunch
47,8.0,Bryan Singer,X-Men: Days of Future Past
2851,8.0,Tony Scott,True Romance
4794,8.0,Richard Schenkman,The Man from Earth
1321,8.0,Joss Whedon,Serenity
4175,8.0,Richard Linklater,Before Sunset
4072,8.0,Mel Brooks,Young Frankenstein
4033,7.9,,BrainDead
4000,7.9,Richard Linklater,Before Midnight
4532,7.9,Cristian Mungiu,"4 Months, 3 Weeks and 2 Days"
918,7.9,Andrew Adamson,Shrek
4098,7.9,Martin Ritt,Hud
836,7.9,Paul Greengrass,Captain Phillips
519,7.9,Alfonso Cuarón,Children of Men
698,7.9,Quentin Tarantino,The Hateful Eight
780,7.9,Cameron Crowe,Almost Famous
3994,7.9,Richard Brooks,Elmer Gantry
4301,7.9,Francis Ford Coppola,The Conversation
953,7.9,,Unforgotten
4398,7.9,Anna Muylaert,The Second Mother
4318,7.9,Fabián Bielinsky,Nine Queens
632,7.9,Michael Mann,The Insider
4212,7.9,,Eureka
4452,7.9,Robert Kenner,"Food, Inc."
708,7.9,Doug Liman,The Bourne Identity
4087,7.9,Stacy Peralta,Riding Giants
349,7.9,John Lasseter,Toy Story 2
0,7.9,James Cameron,Avatar
161,7.9,Dean DeBlois,How to Train Your Dragon 2
3207,7.9,Michael Haneke,Amour
3527,7.9,Darren Aronofsky,The Wrestler
69,7.9,Jon Favreau,Iron Man
4866,7.9,Dave Carroll,Bending Steel
3468,7.9,Troy Duffy,The Boondock Saints
2817,7.9,Clint Eastwood,Letters from Iwo Jima
3443,7.9,Yash Chopra,Veer-Zaara
89,7.9,Don Hall,Big Hero 6
3301,7.9,Jonathan Dayton,Little Miss Sunshine
3297,7.9,Dan Gilroy,Nightcrawler
99,7.9,Peter Jackson,The Hobbit: An Unexpected Journey
1590,7.9,Nick Cassavetes,The Notebook
3271,7.9,,Star Wars: The Clone Wars
1976,7.9,Roger Donaldson,The World's Fastest Indian
1697,7.9,Edward Zwick,Glory
3588,7.9,John Frankenheimer,The Train
3137,7.9,Paul Haggis,Crash
1719,7.9,James Mangold,Walk the Line
1732,7.9,F. Gary Gray,Straight Outta Compton
3118,7.9,,Bones
2872,7.9,Stéphane Aubier,Ernest & Celestine
1786,7.9,,Limitless
1790,7.9,John Landis,The Blues Brothers
1796,7.9,Philip Kaufman,The Right Stuff
3032,7.9,,Lovesick
3028,7.9,Steven Spielberg,E.T. the Extra-Terrestrial
4810,7.9,John Carney,Once
2978,7.9,David O. Russell,The Fighter
1854,7.9,Pierre Morel,Taken
2687,7.9,,The Company
75,7.9,Doug Liman,Edge of Tomorrow
1867,7.9,Brian De Palma,The Untouchables
3903,7.9,John Schlesinger,Midnight Cowboy
2456,7.9,George Cukor,My Fair Lady
2461,7.9,John Carpenter,Halloween
3792,7.9,Lukas Moodysson,Lilya 4-Ever
23,7.9,Peter Jackson,The Hobbit: The Desolation of Smaug
1161,7.9,Yimou Zhang,Hero
2524,7.9,Edgar Wright,Hot Fuzz
3697,7.9,Duncan Jones,Moon
2569,7.9,Ang Lee,"Crouching Tiger, Hidden Dragon"
2419,7.9,Tim Burton,Ed Wood
3889,7.9,Fred Zinnemann,A Man for All Seasons
3608,7.9,Christophe Barratier,The Chorus
2151,7.9,Tim Burton,Edward Scissorhands
2627,7.9,Paul Thomas Anderson,Boogie Nights
3611,7.9,Spike Lee,Do the Right Thing
2626,7.9,James Ivory,The Remains of the Day
2924,7.8,Richard Curtis,About Time
2385,7.8,Alejandro G. Iñárritu,Birdman or (The Unexpected Virtue of Ignorance)
2355,7.8,James Schamus,Indignation
2430,7.8,Michael Haneke,The White Ribbon
2424,7.8,Kenneth Branagh,Hamlet
510,7.8,Mark Osborne,The Little Prince
4258,7.8,James Marsh,Man on Wire
2899,7.8,Josh Boone,The Fault in Our Stars
2911,7.8,Alexander Payne,Nebraska
1891,7.8,Bernardo Bertolucci,The Last Emperor
4280,7.8,Tom Tykwer,Run Lola Run
2859,7.8,Mark Herman,The Boy in the Striped Pajamas
2113,7.8,David O. Russell,Silver Linings Playbook
4290,7.8,Ritesh Batra,The Lunchbox
1986,7.8,Giuseppe Tornatore,The Best Offer
2095,7.8,Christian Carion,Joyeux Noel
2094,7.8,Paul Verhoeven,Black Book
2154,7.8,William Friedkin,The French Connection
1881,7.8,Marc Forster,Finding Neverland
2813,7.8,Spike Jonze,Being John Malkovich
4382,7.8,John Ford,How Green Was My Valley
2613,7.8,Nicolas Winding Refn,Drive
2857,7.8,John Cromwell,The Prisoner of Zenda
2575,7.8,Steven Spielberg,The Color Purple
2229,7.8,Stephen Chow,Kung Fu Hustle
2853,7.8,James Foley,Glengarry Glen Ross
2109,7.8,Trey Parker,South Park: Bigger Longer & Uncut
2508,7.8,Sidney Lumet,The Verdict
4293,7.8,Fred Zinnemann,From Here to Eternity
2513,7.8,Wes Anderson,Moonrise Kingdom
966,7.8,David Fincher,The Game
1875,7.8,George P. Cosmatos,Tombstone
3556,7.8,John Cameron Mitchell,Hedwig and the Angry Inch
868,7.8,Clint Eastwood,Changeling
4020,7.8,Todd Solondz,Happiness
4011,7.8,Mel Stuart,Willy Wonka & the Chocolate Factory
4006,7.8,Deepa Mehta,Water
1225,7.8,Mel Gibson,Apocalypto
1201,7.8,Michael Mann,The Last of the Mohicans
3998,7.8,Howard Hawks,Red River
3997,7.8,,Robot Chicken
1186,7.8,James Wan,The Conjuring 2
1178,7.8,Robert Zemeckis,Back to the Future Part II
1128,7.8,Andrew Davis,The Fugitive
3764,7.8,Shona Auerbach,Dear Frankie
3784,7.8,Mike van Diem,Character
3815,7.8,Sofia Coppola,Lost in Translation
1047,7.8,Deepa Mehta,Earth
1043,7.8,James Mangold,3:10 to Yuma
3965,7.8,Guy Hamilton,Goldfinger
3882,7.8,Howard Hughes,Hell's Angels
3905,7.8,Jim Abrahams,Airplane!
3909,7.8,,Empire
985,7.8,,A Touch of Frost
1284,7.8,Wes Anderson,Fantastic Mr. Fox
1333,7.8,,3rd Rock from the Sun
1829,7.8,Joel Coen,"O Brother, Where Art Thou?"
3519,7.8,Robert Redford,Ordinary People
4225,7.8,Ralph Ziman,Gangster's Paradise: Jerusalema
3007,7.8,Lasse Hallström,What's Eating Gilbert Grape
1795,7.8,Paul McGuigan,Lucky Number Slevin
3048,7.8,Ken Annakin,The Longest Day
3922,7.8,Sam Raimi,Evil Dead II
1760,7.8,Joe Wright,Pride & Prejudice
3106,7.8,Mike Judge,Office Space
1740,7.8,Adam McKay,The Big Short
759,7.8,Phil Lord,The Lego Movie
4172,7.8,Sylvain Chomet,The Triplets of Belleville
4136,7.8,James Algar,Fantasia
1622,7.8,Joe Wright,Atonement
1576,7.8,Boaz Yakin,Remember the Titans
3312,7.8,Justin Tipping,Kicks
4085,7.8,James Ivory,Maurice
1423,7.8,Mike Newell,Donnie Brasco
4082,7.8,Mel Brooks,Blazing Saddles
3489,7.8,John Singleton,Boyz n the Hood
1384,7.8,Todd Phillips,The Hangover
1380,7.8,Andrew Niccol,Gattaca
3518,7.8,Robert Stevenson,Mary Poppins
498,7.8,Jacques Perrin,Oceans
2377,7.8,John McTiernan,Predator
287,7.8,Ridley Scott,American Gangster
48,7.8,J.J. Abrams,Star Trek Into Darkness
4701,7.8,Henry Alex Rubin,Murderball
4763,7.8,Sam Martin,UnDivided
79,7.8,Jon Favreau,The Jungle Book
30,7.8,Sam Mendes,Skyfall
392,7.8,Paul Greengrass,The Bourne Supremacy
86,7.8,Anthony Russo,Captain America: The Winter Soldier
4909,7.8,Anthony Vallone,The Mongol King
4882,7.8,Kevin Smith,Clerks
90,7.8,Rich Moore,Wreck-It Ralph
4594,7.8,Mark Sandrich,Top Hat
7,7.8,Nathan Greno,Tangled
193,7.8,Alfonso Cuarón,Harry Potter and the Prisoner of Azkaban
360,7.8,David Fincher,The Girl with the Dragon Tattoo
243,7.8,Alfonso Cuarón,Gravity
101,7.8,David Fincher,The Curious Case of Benjamin Button
102,7.8,Matthew Vaughn,X-Men: First Class
416,7.8,Bob Fosse,All That Jazz
394,7.8,Steven Soderbergh,Ocean's Eleven
701,7.7,Zack Snyder,300
390,7.7,Robert Zemeckis,Cast Away
1355,7.7,Ryan Coogler,Creed
1127,7.7,Ben Affleck,Argo
3774,7.7,Spike Lee,25th Hour
3700,7.7,Atom Egoyan,The Sweet Hereafter
2099,7.7,William Friedkin,Sorcerer
3775,7.7,,Secrets and Lies
4111,7.7,Larry Charles,Religulous
4795,7.7,Ricki Stern,The Trials of Darryl Hunt
2942,7.7,Paolo Sorrentino,The Great Beauty
4679,7.7,Stacy Peralta,Dogtown and Z-Boys
4235,7.7,Orson Welles,The Lady from Shanghai
3620,7.7,Shane Meadows,A Room for Romeo Brass
1085,7.7,Richard Curtis,Love Actually
281,7.7,Steven Spielberg,Minority Report
3787,7.7,Chan-wook Park,Lady Vengeance
1756,7.7,Matthew Vaughn,Kick-Ass
4566,7.7,Robert Greenwald,Iraq for Sale: The War Profiteers
4415,7.7,Shane Meadows,Dead Man's Shoes
626,7.7,Pierre Coffin,Despicable Me
2130,7.7,Steven Spielberg,Close Encounters of the Third Kind
2775,7.7,Ang Lee,Brokeback Mountain
164,7.7,Zack Snyder,Watchmen
1723,7.7,Ron Howard,Frost/Nixon
3708,7.7,Brad Anderson,The Machinist
2876,7.7,Nicholas Meyer,Star Trek II: The Wrath of Khan
4618,7.7,Tom McCarthy,The Station Agent
1963,7.7,Ron Maxwell,Gettysburg
3122,7.7,François Girard,The Red Violin
2896,7.7,Brian Henson,The Muppet Christmas Carol
603,7.7,Matthew Vaughn,Stardust
3539,7.7,Kevin Macdonald,The Last King of Scotland
4368,7.7,,Space: Above and Beyond
4840,7.7,Lisanne Pajot,Indie Game: The Movie
1998,7.7,Stephen Frears,Dangerous Liaisons
451,7.7,Sam Mendes,Road to Perdition
428,7.7,David Fincher,Zodiac
4391,7.7,Kenneth Lonergan,You Can Count on Me
2812,7.7,Alex Garland,Ex Machina
2803,7.7,Eric Bress,The Butterfly Effect
880,7.7,Jean-Pierre Jeunet,A Very Long Engagement
881,7.7,Stanley Kubrick,Lolita
4386,7.7,James Wan,Saw
2029,7.7,Ruben Fleischer,Zombieland
4683,7.7,,Heroes
4719,7.7,Jean-Luc Godard,Pierrot le Fou
1187,7.7,David Fincher,The Social Network
884,7.7,Gabriele Muccino,Seven Pounds
3509,7.7,Wolfgang Becker,Good Bye Lenin!
2774,7.7,Rob Reiner,Flipped
2624,7.7,Woody Allen,Match Point
3008,7.7,Philip Saville,The Visual Bible: The Gospel of John
736,7.7,Henry Selick,Coraline
3649,7.7,Stephen Daldry,Billy Elliot
738,7.7,Tony Scott,Man on Fire
1005,7.7,David Cronenberg,Eastern Promises
4462,7.7,Chris Paine,Who Killed the Electric Car?
4607,7.7,Richard Lester,A Hard Day's Night
3669,7.7,Alfonso Cuarón,Y Tu Mamá También
326,7.7,Ridley Scott,Black Hawk Down
3308,7.7,Jonathan Levine,50/50
328,7.7,Luc Besson,The Fifth Element
3440,7.7,,Nikita
157,7.7,Edward Zwick,The Last Samurai
1219,7.7,Kevin Reynolds,The Count of Monte Cristo
2436,7.7,,Carlos
3602,7.7,Scott Hicks,Shine
3346,7.7,Tomm Moore,The Secret of Kells
3507,7.7,Anton Corbijn,Control
4479,7.7,Alex Gibney,Taxi to the Dark Side
1799,7.7,Alex Proyas,Dark City
4911,7.7,Scott Smith,Signed Sealed Delivered
4802,7.7,Andrew Haigh,Weekend
3404,7.7,Marc Webb,500 Days of Summer
1502,7.7,Hayao Miyazaki,Ponyo
3357,7.7,,Wuthering Heights
4602,7.7,Johanna Schwartz,They Will Have to Kill Us First
3363,7.7,Charles Binamé,The Rocket: The Legend of Rocket Richard
2357,7.7,Spike Jonze,Adaptation.
2360,7.7,Terry Gilliam,Fear and Loathing in Las Vegas
3009,7.7,Mike Leigh,Vera Drake
4646,7.7,Hao Ning,Crazy Stone
3296,7.7,James Frawley,The Muppet Movie
3239,7.7,Kenneth Branagh,Henry V
1416,7.7,Spike Lee,Malcolm X
1076,7.7,Antoine Fuqua,Training Day
3084,7.7,Wes Anderson,Rushmore
4671,7.7,Lloyd Bacon,42nd Street
3252,7.7,Hong-jin Na,The Wailing
3498,7.7,Caroline Link,Nowhere in Africa
1202,7.7,Taylor Hackford,Ray
1051,7.7,Ted Kotcheff,First Blood
4666,7.7,Paul Greengrass,Bloody Sunday
1611,7.7,Woody Allen,Midnight in Paris
2600,7.7,David Ayer,End of Watch
1390,7.7,John Lee Hancock,The Blind Side
26,7.7,James Cameron,Titanic
1394,7.7,Ethan Coen,True Grit
2233,7.7,Alejandro G. Iñárritu,21 Grams
923,7.7,James L. Brooks,As Good as It Gets
2536,7.7,Jonathan Demme,Philadelphia
3475,7.7,Richard Linklater,Dazed and Confused
2959,7.7,Chuan Lu,City of Life and Death
3865,7.7,Jorge Ramírez Suárez,"Buen Día, Ramón"
3871,7.7,Fernando León de Aranoa,Mondays in the Sun
3688,7.7,Denys Arcand,The Barbarian Invasions
